split,test_id,exact_normalized_match,exact_train_ids,char5_max_jaccard,char5_train_id,word2_max_jaccard,word2_train_id,embedding_max_cosine,embedding_train_id,test_text,nearest_embedding_text
v3_standard,241,False,,0.18181818181818182,151,0.14285714285714285,151,0.7932385756091171,151,"외향적이고 활동적인 교수님으로, 늘 여유롭고 차분한 태도를 유지합니다. 새로운 경험을 즐기며 유연하게 일정을 관리합니다.",사교적이고 활동적인 성격으로 새로운 경험을 즐깁니다. 정서적으로 안정되어 느긋하고 유연하게 일정을 관리합니다.
v3_standard,242,False,,0.1956521739130435,118,0.15625,73,0.8195642117127644,186,"성실하고 계획적인 성격으로, 목표 지향적인 연구를 추구합니다. 독립적이고 자기주장이 강하며, 새로운 것과 익숙한 것 사이의 균형을 중시합니다.","내향적이고 조용하지만, 새로운 경험을 추구하며 창의적인 면모가 있습니다. 정서적으로 안정되어 꾸준히 계획을 세워 목표를 달성하는 성실한 연구자입니다."
v3_standard,243,False,,0.08080808080808081,48,0.043478260869565216,25,0.7667348733727992,10,"친절하고 협조적인 성품으로 타인을 배려하는 교수님입니다. 외향적이고 사교적이며, 유연한 태도로 익숙함과 새로움의 조화를 추구합니다.","내향적이지만 친절하고 협조적이며 타인을 배려합니다. 정서적으로 안정되어 있고 유연하게 일정을 관리하며, 익숙함과 새로움의 균형을 중시합니다."
v3_standard,244,False,,0.32142857142857145,184,0.3181818181818182,218,0.8314163190076986,64,"창의적이고 새로운 경험을 추구하는 교수님입니다. 감정 기복이 있고 스트레스에 민감하지만, 즉흥적이고 자유분방한 방식으로 일정을 소화합니다.","외향적이고 창의적이며 새로운 경험을 즐기는 교사입니다. 즉흥적이고 자유분방한 성향을 가졌지만, 감정 기복이 있어 스트레스에 민감합니다."
v3_standard,245,False,,0.20224719101123595,185,0.13636363636363635,67,0.8372765876756935,67,"안정적이고 차분한 성격의 교수님입니다. 전통을 중시하고 익숙한 방식을 선호하며, 성실하고 계획적으로 목표를 달성해 나갑니다.",내향적이지만 성실하고 계획적으로 목표를 달성하는 교사입니다. 정서적으로 안정되어 있으며 현실적이고 익숙한 방식을 선호합니다.
v3_standard,246,False,,0.12371134020618557,218,0.08333333333333333,7,0.7899254612290323,36,"혼자 시간을 선호하는 내향적인 교수님이지만, 창의적이고 새로운 지식 탐구를 즐깁니다. 성실하고 계획적으로 연구에 매진합니다.","내향적이고 혼자만의 시간을 선호하지만, 성실하고 꼼꼼하게 업무를 처리합니다. 정서적으로 안정되고 느긋한 편이며, 새로운 지식과 경험을 탐구하는 것을 즐깁니다."
v3_standard,247,False,,0.16883116883116883,110,0.15789473684210525,110,0.847793926713498,187,"내향적이고 조용한 성품을 지닌 교수님으로, 현실적이고 전통적인 방식을 선호합니다. 성실하고 계획적으로 연구에 임하며 안정감을 추구합니다.","조용하고 내향적이지만 성실하며 계획적으로 목표를 추구합니다. 정서적으로 안정되어 차분하며, 현실적이고 익숙한 방식을 선호하는 실용적인 연구자입니다."
v3_standard,248,False,,0.17708333333333334,218,0.16,64,0.8490367054782488,64,"내향적이지만 창의적이며 새로운 지식 탐구에 열정적인 교수님입니다. 감정 기복이 있어 스트레스에 민감하지만, 맡은 일은 성실히 해냅니다.","외향적이고 창의적이며 새로운 경험을 즐기는 교사입니다. 즉흥적이고 자유분방한 성향을 가졌지만, 감정 기복이 있어 스트레스에 민감합니다."
v3_standard,249,False,,0.2,139,0.17391304347826086,139,0.8367278891573272,69,"내향적이고 자기주장이 강한 교수님입니다. 감정 기복이 있고 스트레스에 취약하며, 즉흥적이고 자유분방한 방식으로 연구를 진행합니다.",내향적이고 독립적인 성향을 가진 교사입니다. 즉흥적이고 자유분방하지만 감정 기복이 있어 스트레스에 민감하게 반응합니다.
v3_standard,250,False,,0.2808988764044944,136,0.22727272727272727,136,0.768841229058733,10,"친절하고 협조적이지만 내향적인 교수님입니다. 정서적으로 안정되고 느긋하며, 유연하게 일정을 관리하면서도 지식 탐구를 게을리하지 않습니다.","내향적이지만 친절하고 협조적이며 타인을 배려합니다. 정서적으로 안정되어 있고 유연하게 일정을 관리하며, 익숙함과 새로움의 균형을 중시합니다."
v3_standard,251,False,,0.19767441860465115,86,0.18181818181818182,86,0.7409203486926182,65,"차분하고 친절하며 타인을 배려하는 교수입니다. 매우 성실하고 계획적이며, 새로운 지식과 경험을 추구하는 창의적인 성향을 가졌습니다.","외향적이고 활동적이며, 성실하고 계획적인 교사입니다. 정서적으로 안정되어 있고 현실적인 사고방식을 가지며 익숙한 방식을 선호합니다."
v3_standard,252,False,,0.18292682926829268,102,0.12,50,0.8380032643368338,67,"대체로 안정적이나 감정 기복이 있을 수 있는 교수입니다. 성실하고 계획적이며, 익숙한 방식과 전통을 선호하는 현실적인 경향이 있습니다.",내향적이지만 성실하고 계획적으로 목표를 달성하는 교사입니다. 정서적으로 안정되어 있으며 현실적이고 익숙한 방식을 선호합니다.
v3_standard,253,False,,0.19230769230769232,217,0.15384615384615385,210,0.810704525405991,67,"정서적으로 안정되고 차분하며, 독립적이고 자기주장이 강한 교수입니다. 성실하고 계획적으로 목표를 달성하며, 익숙함과 새로운 것 사이의 균형을 추구합니다.",내향적이지만 성실하고 계획적으로 목표를 달성하는 교사입니다. 정서적으로 안정되어 있으며 현실적이고 익숙한 방식을 선호합니다.
v3_standard,254,False,,0.1702127659574468,44,0.15384615384615385,139,0.8213425921069464,119,"감정 기복이 있고 스트레스에 민감하며 걱정이 많은 친절한 교수입니다. 새로운 경험과 지식을 추구하며, 일정을 유연하게 관리하는 편입니다.","친절하고 협조적이며 새로운 경험을 추구하는 개방적인 사람입니다. 감정 기복이 있고 스트레스에 민감하지만, 유연하게 일정을 관리합니다."
v3_standard,255,False,,0.2696629213483146,135,0.25925925925925924,135,0.8105535436076039,225,"대체로 안정적이지만 가끔 감정 기복이 있는 교수입니다. 보통의 성실성을 가지고 유연하게 일정을 관리하며, 익숙함과 새로운 것의 균형을 유지합니다.","보통의 성실성과 사교성을 지닌 균형 잡힌 트레이너입니다. 유연한 일정 관리를 선호하며, 대체로 안정적인 성격입니다."
v3_standard,256,False,,0.22093023255813954,121,0.125,35,0.8163203795666961,211,"외향적이고 사교적이며 활동적인 데이터 과학자입니다. 정서적으로 안정되고 차분하며, 새로운 경험과 지식을 탐구하는 데 열정적입니다.",외향적이고 사교적이며 활동적인 성격으로 사람들과 어울리기를 즐깁니다. 정서적으로 안정되어 느긋하고 새로운 경험을 추구하는 것을 좋아합니다.
